Restaurant Name,Address
In-N-Out Burger,"1020 Olive Dr, Davis, CA 95616"
Dairy Queen,"909 5th St, Davis, CA 95616"
Carl's Jr.,"1616 E Covell Blvd, Davis, CA 95616"
Chipotle Mexican Grill,"227 E St Ste 1, Davis, CA 95616"
Subway,"4748 Chiles Rd, Davis, CA 95618"
Taco Bell,"425 G St, Davis, CA 95616"
KFC,"1617 Research Park Dr, Davis, CA 95618"
Jack in the Box,"337 G St, Davis, CA 95616"
Del Taco,"1649 Research Park Dr, Davis, CA 95618"
Mr. Pickle's Sandwich Shop,"2191 Cowell Blvd. Suite F, Davis, CA 95618"
ChickPeas,"640 W Covell Blvd, Davis, CA 95616"
Panda Express,"1491 W Covell Blvd, Davis, CA 95616"
Burger King,"2026 Lyndell Ter, Davis, CA 95616"
McDonald's,"4444 Chiles Rd, Davis, CA 95618"
Baja Fresh,"237 D St, Davis, CA 95616"
Teaspoon,"110 F St, Davis, CA 95616"
Burgers & Brew,"403 3rd St, Davis, CA 95616"
Teabo Cafe,"2191 Cowell Blvd, Davis, CA 95618"
Hunan Bar & Restaurant,"207 D St, Davis, CA 95616"
Raising Cane's Chicken Fingers,"207 E St, Davis, CA 95616"
Wingstop,"408 G St, Davis, CA 95616"
Domino's Pizza,"658 G St, Davis, CA 95616"
Steve's Pizza,"314 F St, Davis, CA 95616"
The Hotdogger,"129 E St, Davis, CA 95616"
Togo's Eatery,"1411 W Covell Blvd, Davis, CA 95616"
