GEOID,NAME,tpoprE,tpoprM,nhwhiteE,nhwhiteM,nhblkE,nhblkM,nhasnE,nhasnM,hispE,hispM
06033,"Lake County, California",64148,NA,45623,30,1426,112,642,187,12830,NA
06047,"Merced County, California",269075,NA,76008,200,8038,371,19487,630,158494,NA
06043,"Mariposa County, California",17540,NA,14125,31,166,111,243,95,1909,NA
06049,"Modoc County, California",8938,NA,6962,6,149,97,130,118,1292,NA
06013,"Contra Costa County, California",1133247,NA,502951,607,93683,1433,182135,1993,288101,NA
06027,"Inyo County, California",18085,NA,11389,26,160,37,289,62,3927,NA
06099,"Stanislaus County, California",539301,NA,229796,445,14338,584,28599,876,245973,NA
06083,"Santa Barbara County, California",443738,NA,199356,221,7881,449,22996,507,200060,NA
06051,"Mono County, California",14174,NA,9234,121,40,47,336,223,3866,NA
06069,"San Benito County, California",59416,NA,20780,38,434,88,1705,125,35248,NA
06067,"Sacramento County, California",1510023,NA,682500,980,144003,2016,231740,1893,347025,NA
06017,"El Dorado County, California",186661,NA,145990,166,1432,209,8237,402,23631,NA
06053,"Monterey County, California",433212,NA,131238,201,10606,438,23647,683,252588,NA
06075,"San Francisco County, California",870044,NA,353670,486,43619,746,294846,1598,132651,NA
06073,"San Diego County, California",3302833,NA,1515380,911,155536,1816,382336,2723,1106925,NA
06107,"Tulare County, California",460477,NA,133617,678,5870,328,14800,728,295149,NA
06023,"Humboldt County, California",135768,NA,101305,187,1342,206,4049,311,15360,NA
06003,"Alpine County, California",1146,161,678,152,9,20,8,16,105,57
06039,"Madera County, California",155013,NA,53531,186,4835,265,3047,228,88806,NA
06087,"Santa Cruz County, California",273765,NA,157540,181,2359,266,12116,441,91676,NA
06105,"Trinity County, California",12862,NA,10607,26,87,71,179,32,930,NA
06065,"Riverside County, California",2383286,NA,856468,823,144503,1607,147706,1724,1154517,NA
06071,"San Bernardino County, California",2135413,NA,623262,553,168864,2247,145652,1306,1127813,NA
06041,"Marin County, California",260295,NA,185809,544,5597,508,14815,486,41335,NA
06061,"Placer County, California",380077,NA,278380,173,5868,404,27196,629,52498,NA
06089,"Shasta County, California",179085,NA,143575,151,2140,223,5326,358,17605,NA
06095,"Solano County, California",438530,NA,168870,421,59500,826,65994,872,114406,NA
06011,"Colusa County, California",21464,NA,7672,23,277,22,324,53,12655,NA
06103,"Tehama County, California",63373,NA,43539,53,420,64,964,96,15623,NA
06115,"Yuba County, California",75493,NA,42085,54,2340,310,4977,318,20990,NA
06035,"Lassen County, California",31185,NA,20528,23,2695,58,436,56,5834,NA
06097,"Sonoma County, California",501317,NA,318237,591,7192,537,19720,800,132985,NA
06025,"Imperial County, California",180216,NA,19773,112,3906,336,2376,181,151019,NA
06001,"Alameda County, California",1643700,NA,523391,408,172329,1410,483067,1874,369061,NA
06055,"Napa County, California",140530,NA,74159,238,2764,204,11210,236,47687,NA
06091,"Sierra County, California",2930,161,2567,152,6,8,0,12,324,58
06113,"Yolo County, California",214977,NA,101274,164,5215,335,29360,652,67809,NA
06057,"Nevada County, California",99092,NA,84470,147,601,119,989,223,9281,NA
06045,"Mendocino County, California",87422,NA,57314,43,511,135,1667,160,21679,NA
06037,"Los Angeles County, California",10098052,NA,2659052,1372,795505,2821,1451560,3419,4893603,NA
06085,"Santa Clara County, California",1922200,NA,615912,800,45379,866,685265,2140,495455,NA
06093,"Siskiyou County, California",43540,NA,33390,25,619,73,671,130,5336,NA
06015,"Del Norte County, California",27424,NA,17172,113,758,199,937,131,5340,NA
06021,"Glenn County, California",27897,NA,14507,4,223,81,820,51,11504,NA
06007,"Butte County, California",227075,NA,164390,235,3303,320,9900,582,36358,NA
06031,"Kings County, California",150075,NA,49058,154,8784,460,5737,394,81154,NA
06063,"Plumas County, California",18699,NA,15571,204,194,161,200,57,1629,NA
06079,"San Luis Obispo County, California",281455,NA,194574,110,4912,363,9924,439,63002,NA
06019,"Fresno County, California",978130,NA,291455,523,44474,862,97991,1054,515907,NA
06029,"Kern County, California",883053,NA,307030,368,45053,953,40273,1075,465842,NA
06059,"Orange County, California",3164182,NA,1296036,848,50412,1047,629637,2411,1080195,NA
06111,"Ventura County, California",848112,NA,388301,243,13677,591,60242,856,360017,NA
06009,"Calaveras County, California",45235,NA,36905,66,299,143,568,138,5297,NA
06101,"Sutter County, California",95872,NA,44769,87,1793,190,14532,571,29354,NA
06081,"San Mateo County, California",765935,NA,303047,431,16838,594,212474,1296,189002,NA
06109,"Tuolumne County, California",53932,NA,43364,47,880,127,732,101,6527,NA
06077,"San Joaquin County, California",732212,NA,237887,295,49926,897,110164,1419,301256,NA
06005,"Amador County, California",37829,NA,29763,17,749,128,466,96,5132,NA
