GEOID,County,pwhite,pasian,pblack,phisp,mhisp,mhhinc
06001,Alameda,0.2823604118529083,0.3198506733561387,0.09627536927592802,0.23320635201207784,Not Majority,126240
06003,Alpine,0.5858407079646017,0.00471976401179941,0,0.14690265486725665,Not Majority,110781
06005,Amador,0.7368934168514952,0.014306953618172512,0.019035316483462916,0.1550366813717127,Not Majority,81526
06007,Butte,0.6660953835871485,0.0525612259512102,0.016947534253115005,0.1949157397240655,Not Majority,68574
06009,Calaveras,0.7739754321121861,0.023176432220893575,0.011501250135884336,0.13921078378084575,Not Majority,79877
06011,Colusa,0.31372459465631425,0.004612925325416762,0.014204156200045672,0.6229276090431606,Majority,75149
06013,Contra Costa,0.392576399663182,0.18285034844135561,0.08167665124352323,0.2727597554108715,Not Majority,125727
06015,Del Norte,0.6107060418422307,0.030080973143296816,0.02949474224160041,0.19602095775473566,Not Majority,66780
06017,El Dorado,0.7412779057613404,0.05013026588801814,0.007914757747050166,0.14160240042849936,Not Majority,106190
06019,Fresno,0.27001774437041076,0.10750262806376908,0.04155502335617575,0.5410936302057399,Majority,71434
06021,Glenn,0.4862523145721972,0.02714600146735143,0.005520036334416378,0.4413234112427069,Not Majority,70487
06023,Humboldt,0.7023807765585077,0.030284009511290965,0.011246658494439439,0.13841586790530064,Not Majority,61135
06025,Imperial,0.09421199092120745,0.012753807460447582,0.021944133081268576,0.8557933068999939,Majority,56393
06027,Inyo,0.5900122320906238,0.015795351805562942,0.005956496303781311,0.2376748391214168,Not Majority,72432
06029,Kern,0.3065112973716902,0.048949236242535145,0.04828691402881925,0.5573787417635345,Majority,67660
06031,Kings,0.28784270104037163,0.03492769744160178,0.059824641758816986,0.5748871294902833,Majority,68750
06033,Lake,0.6525484671040079,0.010419877016099444,0.019284110421344605,0.23751449243458225,Not Majority,58738
06035,Lassen,0.613625429002149,0.01590916380665234,0.07473457997883055,0.22539051223658466,Not Majority,64395
06037,Los Angeles,0.251545681605734,0.14808619790857525,0.07542834850634712,0.4826536395839083,Not Majority,87760
06039,Madera,0.30853328295232696,0.023760942124818944,0.024220668807859436,0.6035329680710372,Majority,75496
06041,Marin,0.6656850810581029,0.06088535930284235,0.021424844936525418,0.1898556605414179,Not Majority,142785
06043,Mariposa,0.7637749120750293,0.015885111371629543,0.012661195779601406,0.13722157092614304,Not Majority,65378
06045,Mendocino,0.6212172992757058,0.021883164845825663,0.008257174040062177,0.2694330220816016,Not Majority,64688
06047,Merced,0.24262859903990588,0.069944712304400955,0.02721667244403828,0.6266207278087655,Majority,65044
06049,Modoc,0.7520240573675688,0.011913023363405042,0.008327550312283136,0.15278741614619476,Not Majority,56648
06051,Mono,0.6554028400030374,0.022097349836737792,9.112309211025895e-4,0.26676285215278306,Not Majority,86953
06053,Monterey,0.27604546685205833,0.05515402653303781,0.02015675693039093,0.6097459124345508,Majority,94486
06055,Napa,0.4940986257073565,0.07768060557066216,0.017931946792092306,0.35864628500036744,Not Majority,108970
06057,Nevada,0.8169289032912974,0.015080232694334908,0.0030160465388669815,0.10466364736657166,Not Majority,84905
06059,Orange,0.3765108343291521,0.21743625205945646,0.015241163023618682,0.341484983073978,Not Majority,113702
06061,Placer,0.6727193375925904,0.08884793967534278,0.015905536630014427,0.15375028792415774,Not Majority,114678
06063,Plumas,0.8180241750395267,0.004590197378487275,0.006732289488448003,0.1002193094303055,Not Majority,64946
06065,Riverside,0.3202453642155688,0.0683458038645517,0.061159822670964516,0.5060196113406661,Majority,89672
06067,Sacramento,0.4153064902745941,0.1720801213600354,0.09126181230733683,0.23972394758488857,Not Majority,88724
06069,San Benito,0.30256146300109,0.0318214848007751,0.00861390335472932,0.6174003875499576,Majority,108289
06071,San Bernardino,0.2562596671749361,0.07865880860182026,0.07624635709767183,0.5456084972410843,Majority,82184
06073,San Diego,0.43175148395476765,0.11905846931048117,0.04438430575042753,0.34337369950243424,Not Majority,102285
06075,San Francisco,0.3749266131066899,0.34689551021677084,0.048119083461972134,0.15934790588781103,Not Majority,141446
06077,San Joaquin,0.2794088512298455,0.1748986558566247,0.0668134759771201,0.4223218730632855,Not Majority,88531
06079,San Luis Obispo,0.654348706507606,0.033927086959919854,0.010963245063697662,0.24505659251259387,Not Majority,93398
06081,San Mateo,0.3575976379009529,0.3046128036505167,0.020562340625419406,0.24879613474701381,Not Majority,156000
06083,Santa Barbara,0.41519454924263755,0.051457852356551606,0.015388253843121797,0.4761799650881243,Not Majority,95977
06085,Santa Clara,0.28219400335312883,0.3930610934604531,0.022565579623148674,0.2509497992168327,Not Majority,159674
06087,Santa Cruz,0.5459606572413456,0.04512425710752159,0.007480612432853045,0.3500325162299217,Not Majority,109266
06089,Shasta,0.7646375183141104,0.033450102999658504,0.008763232977516331,0.1134868964605572,Not Majority,71931
06091,Sierra,0.8883192969608202,0,0.0029293299157817647,0.09593555474185281,Not Majority,60000
06093,Siskiyou,0.7420951772596615,0.015900898845644933,0.01647123237669389,0.1313364055299539,Not Majority,55499
06095,Solano,0.34325590474331447,0.15573483221833798,0.12596711798839458,0.28975387290827465,Not Majority,99994
06097,Sonoma,0.5914027205225248,0.04294727391782424,0.01454157589335354,0.2944267588058693,Not Majority,102840
06099,Stanislaus,0.37515980081484834,0.05727478497057492,0.026502489814395656,0.4921448619284744,Not Majority,79661
06101,Sutter,0.4199007790160754,0.17052469915429772,0.015944064422911762,0.32394337735296197,Not Majority,75450
06103,Tehama,0.6292429792429792,0.01787240537240537,0.008257020757020757,0.2817155067155067,Not Majority,61834
06105,Trinity,0.7928364597759033,0.024235175626337657,0.009190482185572202,0.058919803600654665,Not Majority,53498
06107,Tulare,0.26293576361886106,0.034135955306511076,0.012938916376262679,0.6605026756401149,Majority,69489
06109,Tuolumne,0.7858145171578007,0.01250159459114683,0.01605525486122501,0.13212326645162467,Not Majority,72259
06111,Ventura,0.4286765784799209,0.07066312440427124,0.016740649369705544,0.43842774130668444,Not Majority,107327
06113,Yolo,0.4303431872239212,0.14495229174128257,0.02463013472187784,0.33219917164871293,Not Majority,88818
06115,Yuba,0.5071076926780534,0.07456758025493807,0.03514726946641149,0.2995582517844461,Not Majority,73313
